 INFO  Accepting connections at http://localhost:5173
 HTTP  5/16/2026 9:22:29 PM ::1 Returned 304 in 4 ms
 HTTP  5/16/2026 9:22:29 PM ::1 Returned 304 in 4 ms
 HTTP  5/16/2026 9:22:29 PM ::1 Returned 304 in 5 ms
 HTTP  5/16/2026 9:22:29 PM ::1 GET /components/App.jsx
 HTTP  5/16/2026 9:22:29 PM ::1 Returned 304 in 5 ms
 HTTP  5/16/2026 9:22:29 PM ::1 Returned 304 in 2 ms
 HTTP  5/16/2026 9:22:29 PM ::1 GET /assets/noesis_logo.webp
 HTTP  5/16/2026 9:22:29 PM ::1 Returned 304 in 0 ms
 HTTP  5/16/2026 9:23:56 PM ::1 GET /favicon.ico
 HTTP  5/16/2026 9:23:56 PM ::1 Returned 404 in 7 ms
 HTTP  5/16/2026 10:04:40 PM ::1 GET /Noesis
 HTTP  5/16/2026 10:04:40 PM ::1 Returned 304 in 12 ms
 HTTP  5/16/2026 10:04:41 PM ::1 GET /styles/tokens.css
 HTTP  5/16/2026 10:04:41 PM ::1 GET /api.js
 HTTP  5/16/2026 10:04:41 PM ::1 Returned 304 in 2 ms
 HTTP  5/16/2026 10:04:41 PM ::1 Returned 304 in 2 ms
 HTTP  5/16/2026 10:04:41 PM ::1 GET /components/Icons.jsx
 HTTP  5/16/2026 10:04:41 PM ::1 Returned 304 in 2 ms
 HTTP  5/16/2026 10:04:41 PM ::1 GET /components/Shell.jsx
 HTTP  5/16/2026 10:04:41 PM ::1 Returned 304 in 1 ms
 HTTP  5/16/2026 10:04:41 PM ::1 GET /components/Hero3D.jsx
 HTTP  5/16/2026 10:04:41 PM ::1 Returned 304 in 1 ms
 HTTP  5/16/2026 10:04:41 PM ::1 GET /components/Ambient3D.jsx
 HTTP  5/16/2026 10:04:41 PM ::1 Returned 304 in 7 ms
 HTTP  5/16/2026 10:04:41 PM ::1 GET /components/Splash.jsx
 HTTP  5/16/2026 10:04:41 PM ::1 GET /components/Landing.jsx
 HTTP  5/16/2026 10:04:41 PM ::1 Returned 304 in 5 ms
 HTTP  5/16/2026 10:04:41 PM ::1 GET /components/Auth.jsx
